movieId,title,genres,keywords
tt0834001,Underworld: Rise of the Lycans,"Fantasy, Action, Thriller","prison, vampire, slavery, castle, forbidden love, werewolf, battle, slave, fictional war, gothic, dungeon, dark fantasy, aristocracy, urban gothic"
tt0182789,Bicentennial Man,"Science Fiction, Drama","android, based on novel or book, freedom, hologram, futuristic, robot, based on short story, journey, 22nd century, 2040s, 23rd century, 2060s"
tt1193138,Up in the Air,"Drama, Romance","suitcase, business, omaha, las vegas, on the road, downsizing, cross country, videoconferencing, employment termination, business trip, airport lounge, duringcreditsstinger, airline, motivational speaker, public speaking, laid off, mature romance, traveler, fired from a job, airport ending, travel packing, travel gift, air travel, frequent flyer"
tt0106697,Demolition Man,"Crime, Action, Science Fiction","future, martial arts, helicopter, police, psychopath, crime fighter, dystopia, museum, social control, cryogenics, utopia, fistfight, prison escape, product placement, betrayal, shootout, cyberpunk, explosion, foot chase, warden, subterranean, totalitarianism, censorship, culture shock, knitting, 2030s"
tt2177771,The Monuments Men,"War, Drama, History, Action","nazi, world war ii, art theft, post world war ii"
tt0405094,The Lives of Others,"Drama, Thriller","berlin, germany, government, corruption, espionage, germany, berlin wall, german democratic republic, cold war, blackmail, stasi, soviet union, freedom of speech, house search, artists' life, interrogation, surveillance, heartbreak, east germany, communism, political thriller"
tt3521126,The Disaster Artist,"Comedy, Drama","immigrant, jealousy, based on novel or book, ambition, biography, based on true story, behind the scenes, disaster, hollywood, desire, wealthy man, strange behavior, strange person, socially awkward, film production"
tt0425061,Get Smart,"Action, Comedy, Thriller","dancing, mission, usa president, washington dc, usa, airplane, undercover agent, spy, sarcasm, bakery, los angeles, california, terrorism, secret service, government agent, weight loss, secret headquarters, world domination, moscow, russia, hand to hand combat, field agent, ineptitude, vice president, criminal organization, homeland security, spycraft, based on tv series, smolensk"
tt0450278,Hostel,Horror,"sadism, amsterdam, netherlands, bathroom, brothel, paranoia, human trafficking, bratislava, slovakia, machete, gore, dominatrix, backpacker, iceland, europe, deception, blood bath, mercilessness, slasher, torture, prostitution, strangulation, business card, doberman, eye gouging, hostel, mugging, torture porn, elite club, slovakia, american horror"
tt0257044,Road to Perdition,"Crime, Drama, Thriller","hotel, farm, hitman, illinois, great depression, road trip, based on comic, revenge, organized crime, mafia, bank robbery, based on graphic novel, homework, learning to drive, spoiled son, scarred face, liberty half dollar, lake michigan, 1930s"
tt4225622,The Babysitter,"Comedy, Horror","babysitter, bully, crush, corpse, satanic ritual, satanic cult, horror comedy, spin the bottle"
tt0962726,High School Musical 3: Senior Year,"Comedy, Romance, Drama, Family, Music","high school, musical, coming of age, high school student, duringcreditsstinger, music movie"
tt1679335,Trolls,"Family, Animation, Fantasy, Adventure, Comedy, Music","friendship, hunger, musical, based on toy, troll, jukebox musical, kids"
tt1142988,The Ugly Truth,"Comedy, Romance","surgeon, sexism, romantic comedy, romance, television producer, morning show, relationship, sex toy, valentine's day, misogyny, opposites attract, sacramento"
tt3348730,Jigsaw,"Horror, Mystery, Thriller","sadism, gore, sequel, flashback, torture, death, survival horror, death match, suicide by hanging, mind game, abduction, death game"
tt0106856,Falling Down,"Crime, Drama, Thriller","detective, rocket launcher, retirement, traffic jam, gang, los angeles, california, divorce, anger, inequality, road rage, urban decay, laid off, disturbed, unassuming, price gouging"
tt4016934,The Handmaiden,"Thriller, Drama, Romance","jealousy, based on novel or book, library, pickpocket, con man, swindler, lesbian relationship, mansion, lust, lgbt, noblewoman, con woman, 1930s, lady's maid, handmade, seducer, japanese occupation of korea, lesbian, girls love"
tt0094737,Big,"Fantasy, Drama, Comedy, Romance, Family","baseball, romance, coming of age, best friend, co-workers relationship, body-swap, magic realism, bronx, new york city, pinball machine, toy maker, job promotion, homesick, new toy, quarter, unplugged electronic works, yankee stadium, wish fulfillment, bunk bed, woman director, age change"
tt1262416,Scream 4,"Horror, Mystery","rescue, mask, sheriff, jealousy, victim, knife, self-inflicted injury, sociopath, murder, house party, teen movie, serial killer, author, hospital, slasher, home invasion, self-referential, cousin cousin relationship, phone call, millennials, publicist, fame-seeking, new generation, return to hometown, masked killer, remakes"
tt0095705,The Naked Gun: From the Files of Police Squad!,"Comedy, Crime","assassination, police, aquarium, baseball, parody, slapstick comedy, los angeles, california, terrorism, illegal drugs, criminal investigation, buddy cop, hypnotize, anarchic comedy, good versus evil, based on tv series"
tt0082694,Mad Max 2,"Adventure, Action, Thriller, Science Fiction","mask, australia, chase, explosive, dystopia, boomerang, deal, post-apocalyptic future, exploitation, pilot, villain, feral child, community, ex-cop, sequel, truck, oil, wasteland, gang rape, motorcycle gang, dog, desolate, oil refinery, music box, adventurer, oil tanker, wanderer, action hero, good versus evil"
tt1599348,Safe House,"Action, Thriller","martial arts, cia, microchip, betrayal, on the run, shootout, interrogation, safe house, rogue agent, cape town, south africa, football (soccer) stadium, consulate"
tt1126590,Big Eyes,Drama,"husband wife relationship, court case, hawaii, painting, artist, biography, based on true story, honolulu, hawaii, jehovah's witness, 1950s, 1960s"
tt0388482,Transporter 2,"Action, Thriller, Crime","martial arts, chauffeur, miami, florida, workaholic, war on drugs, kidnapping, conference, sequel, u.s. marshal, young boy, audi, police chase, explosion, lethal virus, scientist, antidote, marital separation, government official, ransom demand, narcotics, rules, ex special forces, action hero, jetski, favor, crazy woman, precision, modified vehicle, bulletproof car"
tt6628394,Bad Times at the El Royale,"Thriller, Drama, Mystery, Crime","vietnam war, post-traumatic stress disorder (ptsd), casino, hippie, audio tape, motel, jukebox, concierge, richard nixon, payphone, storm, vacuum cleaner, slot machine, ruse, motel room, neo-noir, 1960s, lake tahoe"
tt0215750,Enemy at the Gates,"Drama, War, History","sniper, hero, winter, world war ii, stalingrad, based on true story, nazi officer, battle, bombing, death, 1940s, soviet propaganda, nikita khrushchev"
